Identifiant,Deep,Domaine,waste_type,waste_number,X,Y,geometry,commune
730,-9.35,public,solid waste,1000,519437.0540379556,8592241.366756305,"c(519437.054037956, 8592241.3667563)",KOUNGOU
731,-12.167,public,solid waste,1000,519441.3554538134,8592182.111489002,"c(519441.355453813, 8592182.111489)",KOUNGOU
732,-2.9,public,droppings,1,519446.2408402494,8592138.549975133,"c(519446.240840249, 8592138.54997513)",KOUNGOU
733,7.217,public,vehicle scrap,1000,519415.21800145484,8591971.6472744,"c(519415.218001455, 8591971.6472744)",KOUNGOU
734,5.633,prive,vehicle scrap,1000,519411.07707594236,8592002.277623177,"c(519411.077075942, 8592002.27762318)",KOUNGOU
735,2.75,public,vehicle scrap,10,519442.6833127022,8591834.322138105,"c(519442.683312702, 8591834.3221381)",KOUNGOU
736,-11.62,public,vehicle scrap,2,519211.0663678269,8592660.865734419,"c(519211.066367827, 8592660.86573442)",KOUNGOU
737,1.767,public,vehicle scrap,1,519181.110021806,8592651.50411932,"c(519181.110021806, 8592651.50411932)",KOUNGOU
738,-7.383,public,vehicle scrap,10,519190.306195604,8592605.57544401,"c(519190.306195604, 8592605.57544401)",KOUNGOU
739,-23.317,public,vehicle scrap,7,519213.69729181647,8592546.888922127,"c(519213.697291816, 8592546.88892213)",KOUNGOU
740,-17.18,public,vehicle scrap,1,519238.094514686,8592445.06156718,"c(519238.094514686, 8592445.06156718)",KOUNGOU
741,-2.417,public,droppings,1,519250.75858771463,8592417.756249364,"c(519250.758587715, 8592417.75624936)",KOUNGOU
742,-5.883,public,vehicle scrap,8,519266.3212753936,8592376.399182903,"c(519266.321275394, 8592376.3991829)",KOUNGOU
743,-2.117,public,vehicle scrap,20,519279.90247289167,8592261.534607055,"c(519279.902472892, 8592261.53460705)",KOUNGOU
744,-12.033,public,vehicle scrap,1,519268.7985448836,8592206.310747579,"c(519268.798544884, 8592206.31074758)",KOUNGOU
745,5.271,public,droppings,3,518630.3964578694,8592339.77485347,"c(518630.396457869, 8592339.77485347)",KOUNGOU
746,3.943,public,solid waste,20,518638.24980693427,8592254.882799316,"c(518638.249806934, 8592254.88279932)",KOUNGOU
747,-0.917,public,vehicle scrap,1,518646.38351562974,8592209.923721308,"c(518646.38351563, 8592209.92372131)",KOUNGOU
748,-4.3,public,vehicle scrap,1,518462.92702342215,8593183.774751812,"c(518462.927023422, 8593183.77475181)",KOUNGOU
749,-11.117,public,tire waste,30,518441.21569618734,8593231.246241033,"c(518441.215696187, 8593231.24624103)",NA
750,-12,public,tire waste,9,518354.71416973515,8593531.970514962,"c(518354.714169735, 8593531.97051496)",KOUNGOU
751,-6.267,public,solid waste,1,518314.4254573125,8593669.947361864,"c(518314.425457312, 8593669.94736186)",NA
752,-6.933,public,tire waste,13,518314.28001470375,8593678.365138525,"c(518314.280014704, 8593678.36513853)",NA
753,-6.08,public,solid waste,3,518289.26352073293,8593717.596776323,"c(518289.263520733, 8593717.59677632)",NA
754,-8.083,public,tire waste,50,518273.9717524989,8593741.453085724,"c(518273.971752499, 8593741.45308572)",NA
755,-9.617,public,tire waste,40,518241.1145971335,8593713.121597609,"c(518241.114597133, 8593713.12159761)",NA
756,-16.283,public,vehicle scrap,1,517604.57633803925,8592496.270156898,"c(517604.576338039, 8592496.2701569)",KOUNGOU
757,-6.6,public,vehicle scrap,1,517564.54014003533,8592375.306893809,"c(517564.540140035, 8592375.30689381)",KOUNGOU
758,0.55,public,vehicle scrap,1,517750.5542894711,8592111.896664899,"c(517750.554289471, 8592111.8966649)",KOUNGOU
759,-1.986,public,droppings,1,517954.12842436385,8591830.419921918,"c(517954.128424364, 8591830.41992192)",KOUNGOU
760,14,public,vehicle scrap,1,517962.79181476706,8591799.203039005,"c(517962.791814767, 8591799.203039)",KOUNGOU
761,27.8,public,vehicle scrap,4,517967.6705075353,8591741.672770595,"c(517967.670507535, 8591741.6727706)",KOUNGOU
762,24.64,public,solid waste,2,518000.06429368077,8591803.15921482,"c(518000.064293681, 8591803.15921482)",KOUNGOU
763,0.02,public,vehicle scrap,1,518147.22994374484,8591805.9401168935,"c(518147.229943745, 8591805.94011689)",KOUNGOU
764,6.5,public,solid waste,2,518242.7626494036,8591813.473438377,"c(518242.762649404, 8591813.47343838)",KOUNGOU
765,18.2,public,droppings,2,518014.2854018241,8591831.123590367,"c(518014.285401824, 8591831.12359037)",KOUNGOU
766,4.55,public,droppings,1,517932.404982101,8591858.483496107,"c(517932.404982101, 8591858.48349611)",KOUNGOU
767,7.317,public,vehicle scrap,1,517761.6119354541,8592289.807927975,"c(517761.611935454, 8592289.80792798)",KOUNGOU
768,10.1,public,solid waste,1,517784.49058923865,8592228.494344927,"c(517784.490589239, 8592228.49434493)",KOUNGOU
769,-9.5,public,droppings,1,517212.3725041234,8592182.181413095,"c(517212.372504123, 8592182.1814131)",KOUNGOU
770,-0.82,public,vehicle scrap,2,517185.1809938523,8592095.869146977,"c(517185.180993852, 8592095.86914698)",KOUNGOU
771,-20.967,public,vehicle scrap,4,517162.4482235497,8592100.926740557,"c(517162.44822355, 8592100.92674056)",KOUNGOU
772,-10.733,public,vehicle scrap,2,517197.65586487344,8592031.237107085,"c(517197.655864873, 8592031.23710709)",KOUNGOU
773,-12.24,public,solid waste,1,516550.1909677355,8591948.620808972,"c(516550.190967735, 8591948.62080897)",KOUNGOU
774,-7.014,public,vehicle scrap,1,516774.86221475736,8591913.372022329,"c(516774.862214757, 8591913.37202233)",KOUNGOU
775,-12.567,public,vehicle scrap,2,517252.2073704502,8592085.082751054,"c(517252.20737045, 8592085.08275105)",KOUNGOU
